Date,Close,High,Low,Open,Volume
2014-01-02,148.98606872558594,149.92273691254042,148.62769219687948,149.84942358396367,119636900
2014-01-03,148.96156311035156,149.53985448915557,148.74980091303277,149.23848577486578,81390600
2014-01-06,148.52993774414062,149.5073202371162,148.30188224338275,149.45031257597307,108028200
2014-01-07,149.4421844482422,149.69467362095105,149.0105070055926,149.12453477481898,86144200
2014-01-08,149.47474670410156,149.72723583591792,148.96161561164072,149.41772661467581,96582300
2014-01-09,149.57247924804688,149.97158258447305,148.88831275253847,149.955289355125,90683400
2014-01-10,149.979736328125,150.04489682322176,149.05936142351186,149.82498170578185,102026400
2014-01-13,147.9842987060547,150.01236548830784,147.69922298875812,149.59698116102544,149892000
2014-01-14,149.596923828125,149.67837755273501,148.1960042758684,148.47292705459287,105016100
2014-01-15,150.40322875976562,150.63128421097258,149.62946830544982,149.94711785735169,98525800
2014-01-16,150.20779418945312,150.40327567779204,149.72724951222554,150.09376642827888,72290600
2014-01-17,149.57247924804688,150.23221211357944,149.3118497189405,149.94714895449724,107848700
2014-01-21,150.01226806640625,150.49282502874257,149.09190584937838,150.43580495107432,88621200
2014-01-22,150.1100616455078,150.32997676928716,149.79241199031276,150.264816272312,61270900
2014-01-23,148.88011169433594,149.37694938971563,148.09007053422906,149.35251576765504,132496900
2014-01-24,145.70362854003906,147.95976177804008,145.65476129189506,147.9108945298961,208677100
2014-01-27,144.9868927001953,146.2167765866111,144.26199943581602,145.84210692691246,180843100
2014-01-28,145.85028076171875,146.03760940450385,145.07650770394645,145.09280093360817,110463200
2014-01-29,144.44937133789062,145.42675390803726,144.06656119680173,144.63669999371277,216597300
2014-01-30,145.98056030273438,146.45296444429718,145.19050660040745,145.65477034280363,118938100
2014-01-31,145.12542724609375,146.02950918257588,144.09917711336965,144.17247803111482,194677900
2014-02-03,141.85926818847656,145.28011276409362,141.58234545673753,144.95432277711728,254837100
2014-02-04,142.85293579101562,143.21945261282474,141.81039297746986,142.49455936859226,165012400
2014-02-05,142.67372131347656,142.9913708243104,141.4845769613657,142.35607180264273,164230500
