Date,Close,High,Low,Open,Volume
2014-01-02,1.2697957754135132,1.2771309757560654,1.264905739009357,1.2763159211099335,287784770
2014-01-03,1.2510504722595215,1.265720776716856,1.2477904477834698,1.2649058191766187,416293336
2014-01-06,1.2331198453903198,1.2494201581473388,1.2225246226667519,1.2494201581473388,492912375
2014-01-07,1.2323049306869507,1.234749997309387,1.221709706761419,1.2249698279771806,313911842
2014-01-08,1.2331198453903198,1.2437150681138875,1.2249696890118102,1.2323047908894578,431202598
2014-01-09,1.2249699831008911,1.2420853544678065,1.2233399708653636,1.2290450622684852,511350611
2014-01-10,1.220079779624939,1.2282299374951187,1.2168197553398854,1.2241548585600288,421332191
2014-01-13,1.2151896953582764,1.2282298891426757,1.2135595861223776,1.2208947862112975,640383245
2014-01-14,1.218449592590332,1.2241546828490597,1.2070393149153453,1.2160045261487256,469859801
2014-01-15,1.211929440498352,1.2184495852508508,1.2045943383752478,1.2184495852508508,307782488
2014-01-16,1.2143746614456177,1.2233398737657533,1.2070394612316313,1.2119295947076223,324563690
2014-01-17,1.2005192041397095,1.2127444385472237,1.1980741378267015,1.2102993722342155,354405852
2014-01-20,1.193999171257019,1.201334273723902,1.188293983607737,1.2005193163151013,341205358
2014-01-21,1.2013343572616577,1.2111145269501016,1.1948142117501808,1.1956292663731938,369079217
2014-01-22,1.2331198453903198,1.2347498572345161,1.2029641890638125,1.205409255408871,521483868
2014-01-23,1.2217096090316772,1.2323048321096517,1.2184495852342379,1.230674820210932,289789704
2014-01-24,1.2217096090316772,1.2339349411659026,1.214374506908673,1.2151895614367985,404345306
2014-01-27,1.2045944929122925,1.2160046748248254,1.2021494261717371,1.2143746627169698,310891575
2014-01-28,1.2111144065856934,1.2151895821382122,1.2037793043377318,1.20622437080623,262287472
2014-01-29,1.216004729270935,1.2184497961209673,1.2119296502400643,1.2143747170900963,187728766
2014-01-30,1.2021492719650269,1.2143745069420573,1.2021492719650269,1.2143745069420573,218609648
2014-02-07,1.1997044086456299,1.2005194633117646,1.1891091837736139,1.1939993174553283,245496892
2014-02-10,1.2233397960662842,1.2249698080689044,1.2037793605622296,1.2037793605622296,460391272
2014-02-11,1.2437154054641724,1.249420497045095,1.2192649296966003,1.222524954269255,623025669
2014-02-12,1.240455150604248,1.2510503750645925,1.2380101810159363,1.245345284095959,401730675
2014-02-13,1.2445303201675415,1.2592006245543574,1.2355652043227183,1.2388252287830994,456395765
2014-02-14,1.2469754219055176,1.2486054341812158,1.2412703303617967,1.2420853850784226,266987794
2014-02-17,1.2502354383468628,1.260015608335133,1.2437152926355008,1.2592005536871331,387485305
2014-02-18,1.2274149656295776,1.248605317549378,1.223339886742207,1.248605317549378,515769337
2014-02-19,1.2461601495742798,1.2551252634048662,1.2233396920061463,1.2265997157340816,663320629
2014-02-20,1.2371951341629028,1.2665357409826208,1.2355651220412616,1.2502354254511208,623963770
2014-02-21,1.2241549491882324,1.2396403085825332,1.2192649123986266,1.2347501746353744,326331921
2014-02-24,1.195629358291626,1.2127447294303673,1.1882941575932153,1.2127447294303673,468732567
2014-02-25,1.17362380027771,1.2013342958377276,1.1703636791098895,1.1956292052409636,458014458
2014-02-26,1.17362380027771,1.1785138362931344,1.1646585885131255,1.1671036550996066,387057259
2014-02-27,1.1825889348983765,1.1899241347819571,1.1679186322887545,1.1736238201396079,455763249
2014-02-28,1.1907390356063843,1.1939991566743766,1.1671036193617292,1.1809588667174764,464017930
2014-03-03,1.1882941722869873,1.1939993608421482,1.181774123351177,1.1882941722869873,319773651
2014-03-04,1.1891090869903564,1.193999220274056,1.179328917580497,1.184218953706657,332570243
2014-03-05,1.1768839359283447,1.1931842518410982,1.1768839359283447,1.1915542396813323,254666918
2014-03-06,1.1866642236709595,1.1923694125319795,1.1687338938211205,1.1760689978459231,421893834
2014-03-07,1.1834038496017456,1.1980741504771717,1.18095878326292,1.1858489159405712,319640326
2014-03-10,1.1475430727005005,1.1768836736681296,1.145913060903971,1.1760686191911025,432830984
2014-03-11,1.1491732597351074,1.1581384717194168,1.142653114397204,1.1475432476900165,433139682
2014-03-12,1.1524333953857422,1.1638435770015205,1.1426531286778854,1.146728207420312,419262849
2014-03-13,1.1687337160110474,1.1809589522974864,1.1556934251091624,1.161398515944659,457767208
2014-03-14,1.1589536666870117,1.170363849542128,1.1540635328019324,1.1646587581145698,196209439
